id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-CHEMICAL-001,Student CHEMICAL 1,chemical,Sophomore,0.7060809470726902,51.71457926788267,50.77283082644337,1,1,3.7341446371602074
STU-CHEMICAL-002,Student CHEMICAL 2,chemical,Sophomore,0.6975958573516334,83.34712691569032,96.41592812938626,0,0,3.8264811051129426
STU-CHEMICAL-003,Student CHEMICAL 3,chemical,Sophomore,0.9892042219009782,56.846341746451344,71.40920741586572,1,0,3.0226847977218756
STU-CHEMICAL-004,Student CHEMICAL 4,chemical,Sophomore,0.7572390898667042,41.45895798588723,98.33274095218349,1,0,3.003032589374399
STU-CHEMICAL-005,Student CHEMICAL 5,chemical,Sophomore,0.9568186220708453,78.72833775443007,98.18099885446264,2,2,3.5965903579335503
STU-CHEMICAL-006,Student CHEMICAL 6,chemical,Sophomore,0.8524554503989051,50.62664076442294,92.650472773368,1,4,3.2999278615555303
STU-CHEMICAL-007,Student CHEMICAL 7,chemical,Sophomore,0.9179245214166594,96.42751506117486,64.72244460347929,1,1,3.403933754515407
STU-CHEMICAL-008,Student CHEMICAL 8,chemical,Sophomore,0.8010548372420768,97.23571462015525,69.25488643009626,2,1,3.591585338872202
STU-CHEMICAL-009,Student CHEMICAL 9,chemical,Sophomore,0.8307615538505436,94.89186341322691,92.55683357584284,1,2,3.7800106836351324
STU-CHEMICAL-010,Student CHEMICAL 10,chemical,Sophomore,0.7970070775275455,62.20952201532666,65.84610025781389,1,1,2.6759903137030716
