id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-ELECTRICAL-001,Student ELECTRICAL 1,electrical,Sophomore,0.9053457692015644,96.00617848476898,83.8584171191491,3,1,3.8732963037114145
STU-ELECTRICAL-002,Student ELECTRICAL 2,electrical,Sophomore,0.9227651908203118,70.06239303491554,78.66835208359666,1,1,2.0783726533512925
STU-ELECTRICAL-003,Student ELECTRICAL 3,electrical,Sophomore,0.7385217284357604,72.36264690400375,56.425017661695506,4,1,2.8358920634311575
STU-ELECTRICAL-004,Student ELECTRICAL 4,electrical,Sophomore,0.7858695251758445,81.03782616388847,90.56020883680014,2,2,3.935161103040495
STU-ELECTRICAL-005,Student ELECTRICAL 5,electrical,Sophomore,0.8599094730571053,76.95106986339482,91.03197378719777,1,0,3.0959437664961746
STU-ELECTRICAL-006,Student ELECTRICAL 6,electrical,Sophomore,0.6192235696788134,96.63349627364542,81.29698350507864,2,3,2.8469418846162373
STU-ELECTRICAL-007,Student ELECTRICAL 7,electrical,Sophomore,0.9796582926365544,96.65509582751005,91.02134218856341,0,1,3.1370405674999167
STU-ELECTRICAL-008,Student ELECTRICAL 8,electrical,Sophomore,0.954672154919219,92.03193601330022,82.5742385928894,1,4,3.151849150516169
STU-ELECTRICAL-009,Student ELECTRICAL 9,electrical,Sophomore,0.7043574493366855,78.18421584676068,60.33421799383727,4,1,3.4632955105992806
STU-ELECTRICAL-010,Student ELECTRICAL 10,electrical,Sophomore,0.6061218161161539,88.05695768094398,63.69805636605669,1,4,2.2553794588449314
