id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-CIVIL-001,Student CIVIL 1,civil,Sophomore,0.7502331810559776,89.3560336395795,77.03175608050532,4,1,3.1320744209881526
STU-CIVIL-002,Student CIVIL 2,civil,Sophomore,0.6375927759363476,61.61143848467577,81.87149507491033,1,0,2.3172928952849823
STU-CIVIL-003,Student CIVIL 3,civil,Sophomore,0.8313120563984696,47.623630759113084,86.30456668613309,4,4,2.2403292956112844
STU-CIVIL-004,Student CIVIL 4,civil,Sophomore,0.6143769095186968,71.33459560328826,98.79260397312673,0,4,2.6837593334328034
STU-CIVIL-005,Student CIVIL 5,civil,Sophomore,0.786239207252984,86.19961318591665,75.81501741505977,3,0,2.1835981316268835
STU-CIVIL-006,Student CIVIL 6,civil,Sophomore,0.8170578538830306,52.949261649810595,66.1478236470623,4,4,2.1883139765371205
STU-CIVIL-007,Student CIVIL 7,civil,Sophomore,0.7146165008513138,77.37342854914002,89.75930973843518,0,4,2.6228266187825886
STU-CIVIL-008,Student CIVIL 8,civil,Sophomore,0.8363333042276043,45.12084789962608,63.54161256310371,1,4,3.9590210572430173
STU-CIVIL-009,Student CIVIL 9,civil,Sophomore,0.6122000999756197,43.10090327011646,71.9485710352818,1,2,2.3506605397786773
STU-CIVIL-010,Student CIVIL 10,civil,Sophomore,0.6149392754996857,71.88127789408888,53.922819067113295,0,3,2.0343222036635007
