id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-DSAI-001,Student DSAI 1,dsai,Sophomore,0.9718790609370292,59.08020849831183,55.99326836668414,1,3,2.1617066526654307
STU-DSAI-002,Student DSAI 2,dsai,Sophomore,0.9232481518257668,46.60311547166061,66.8807585701814,2,4,2.7393089121228087
STU-DSAI-003,Student DSAI 3,dsai,Sophomore,0.8533615026041694,53.6761097525165,97.14548519562595,0,0,2.484319876554852
STU-DSAI-004,Student DSAI 4,dsai,Sophomore,0.9485842360750871,65.62646731757538,66.16014660103777,4,0,3.6062795127597917
STU-DSAI-005,Student DSAI 5,dsai,Sophomore,0.9214688307596458,89.08088595534959,75.9395310871683,0,2,2.9406012688920766
STU-DSAI-006,Student DSAI 6,dsai,Sophomore,0.6746280235544143,91.64383499538062,85.15094794475888,0,1,3.966846281789686
STU-DSAI-007,Student DSAI 7,dsai,Sophomore,0.9570235993959911,40.41712783187144,68.1814801189647,2,4,2.797648884889106
STU-DSAI-008,Student DSAI 8,dsai,Sophomore,0.8157368967662603,70.64483815465394,98.58910413604804,0,3,3.632863746438768
STU-DSAI-009,Student DSAI 9,dsai,Sophomore,0.922976062065625,65.04466018892674,98.12236474710556,1,1,3.596690249969102
STU-DSAI-010,Student DSAI 10,dsai,Sophomore,0.9584365199693973,53.326468628243816,62.58911479126821,1,3,2.3014350879308587
